Mod:Item:MetaData, Localized Name
minecraft:air, Ar
minecraft:stone:0, Pedra
minecraft:stone:1, Granito
minecraft:stone:2, Granito polido
minecraft:stone:3, Diorito
minecraft:stone:4, Diorito polido
minecraft:stone:5, Andesito
minecraft:stone:6, Andesito polido
minecraft:grass, Bloco de grama
minecraft:dirt:0, Terra
minecraft:dirt:1, Terra grossa
minecraft:dirt:2, Podzol
minecraft:cobblestone, Pedregulho
minecraft:planks:0, Tábuas de carvalho
minecraft:planks:1, Tábuas de pinheiro
minecraft:planks:2, Tábuas de eucalipto
minecraft:planks:3, Tábuas de madeira da selva
minecraft:planks:4, Tábuas de acácia
minecraft:planks:5, Tábuas de carvalho escuro
minecraft:sapling:0, Muda de carvalho
minecraft:sapling:1, Muda de pinheiro
minecraft:sapling:2, Muda de eucalipto
minecraft:sapling:3, Muda de árvore da selva
minecraft:sapling:4, Muda de acácia
minecraft:sapling:5, Muda de carvalho escuro
minecraft:bedrock, Rocha matriz
minecraft:sand:0, Areia
minecraft:sand:1, Areia vermelha
minecraft:gravel, Cascalho
minecraft:gold_ore, Minério de ouro
minecraft:iron_ore, Minério de ferro
minecraft:coal_ore, Minério de carvão
minecraft:log:0, Madeira de carvalho
minecraft:log:1, Madeira de pinheiro
minecraft:log:2, Madeira de eucalipto
minecraft:log:3, Madeira da selva
minecraft:leaves:0, Folhas de carvalho
minecraft:leaves:1, Folhas de pinheiro
minecraft:leaves:2, Folhas de eucalipto
minecraft:leaves:3, Folhas da selva
minecraft:sponge:0, Esponja
minecraft:sponge:1, Esponja molhada
minecraft:glass, Vidro
minecraft:lapis_ore, Minério de lápis-lazúli
minecraft:lapis_block, Bloco de lápis-lazúli
minecraft:dispenser, Ejetor
minecraft:sandstone:0, Arenito
minecraft:sandstone:1, Arenito talhado
minecraft:sandstone:2, Arenito liso
minecraft:noteblock, Bloco musical
minecraft:golden_rail, Trilho elétrico
minecraft:detector_rail, Trilho detector
minecraft:sticky_piston, Pistão grudento
minecraft:web, Teia de aranha
minecraft:tallgrass:1, Grama
minecraft:tallgrass:2, Samambaia
minecraft:deadbush, Arbusto morto
minecraft:piston, Pistão
minecraft:wool:0, Lã branca
minecraft:wool:1, Lã laranja
minecraft:wool:2, Lã magenta
minecraft:wool:3, Lã azul-clara
minecraft:wool:4, Lã amarela
minecraft:wool:5, Lã verde-limão
minecraft:wool:6, Lã rosa
minecraft:wool:7, Lã cinza
minecraft:wool:8, Lã cinza-clara
minecraft:wool:9, Lã ciano
minecraft:wool:10, Lã roxa
minecraft:wool:11, Lã azul
minecraft:wool:12, Lã marrom
minecraft:wool:13, Lã verde
minecraft:wool:14, Lã vermelha
minecraft:wool:15, Lã preta
minecraft:yellow_flower:0, Dente-de-leão
minecraft:red_flower:0, Papoula
minecraft:red_flower:1, Orquídea azul
minecraft:red_flower:2, Hortênsia
minecraft:red_flower:3, Flor silvestre azul
minecraft:red_flower:4, Tulipa vermelha
minecraft:red_flower:5, Tulipa laranja
minecraft:red_flower:6, Tulipa branca
minecraft:red_flower:7, Tulipa rosa
minecraft:red_flower:8, Margarida
minecraft:brown_mushroom, Cogumelo
minecraft:red_mushroom, Cogumelo
minecraft:gold_block, Bloco de ouro
minecraft:iron_block, Bloco de ferro
minecraft:stone_slab:0, Laje de pedra
minecraft:stone_slab:1, Laje de arenito
minecraft:stone_slab:3, Laje de pedregulho
minecraft:stone_slab:4, Laje de tijolos
minecraft:stone_slab:5, Laje de tijolos de pedra
minecraft:stone_slab:6, Laje de tijolos do Nether
minecraft:stone_slab:7, Laje de quartzo
minecraft:brick_block, Tijolos
minecraft:tnt, Dinamite
minecraft:bookshelf, Estante
minecraft:mossy_cobblestone, Pedra musgosa
minecraft:obsidian, Obsidiana
minecraft:torch, Tocha
minecraft:mob_spawner, Gerador de monstros
minecraft:oak_stairs, Escadas de carvalho
minecraft:chest, Baú
minecraft:diamond_ore, Minério de diamante
minecraft:diamond_block, Bloco de diamante
minecraft:crafting_table, Bancada de trabalho
minecraft:farmland, Terra arada
minecraft:furnace, Fornalha
minecraft:ladder, Escada
minecraft:rail, Trilho
minecraft:stone_stairs, Escadas de pedregulho
minecraft:lever, Alavanca
minecraft:stone_pressure_plate, Placa de pressão de pedra
minecraft:wooden_pressure_plate, Placa de pressão de madeira
minecraft:redstone_ore, Minério de redstone
minecraft:redstone_torch, Tocha de redstone
minecraft:stone_button, Botão
minecraft:snow_layer, Neve
minecraft:ice, Gelo
minecraft:snow, Neve
minecraft:cactus, Cacto
minecraft:clay, Argila
minecraft:jukebox, Toca-discos
minecraft:fence, Cerca de carvalho
minecraft:pumpkin, Abóbora
minecraft:netherrack, Netherrack
minecraft:soul_sand, Areia de almas
minecraft:glowstone, Pedra luminosa
minecraft:lit_pumpkin, Abóbora de Halloween
minecraft:stained_glass:0, Vidro branco
minecraft:stained_glass:1, Vidro laranja
minecraft:stained_glass:2, Vidro magenta
minecraft:stained_glass:3, Vidro azul-claro
minecraft:stained_glass:4, Vidro amarelo
minecraft:stained_glass:5, Vidro verde-limão
minecraft:stained_glass:6, Vidro rosa
minecraft:stained_glass:7, Vidro cinza
minecraft:stained_glass:8, Vidro cinza-claro
minecraft:stained_glass:9, Vidro ciano
minecraft:stained_glass:10, Vidro roxo
minecraft:stained_glass:11, Vidro azul
minecraft:stained_glass:12, Vidro marrom
minecraft:stained_glass:13, Vidro verde
minecraft:stained_glass:14, Vidro vermelho
minecraft:stained_glass:15, Vidro preto
minecraft:trapdoor, Alçapão de madeira
minecraft:monster_egg:0, Pedra com traça
minecraft:monster_egg:1, Pedregulho com traça
minecraft:monster_egg:2, Tijolos de pedra com traça
minecraft:monster_egg:3, Tijolos de pedra musgosa com traça
minecraft:monster_egg:4, Tijolos de pedra rachados com traça
minecraft:monster_egg:5, Tijolos de pedra talhados com traça
minecraft:stonebrick:0, Tijolos de pedra
minecraft:stonebrick:1, Tijolos de pedra musgosa
minecraft:stonebrick:2, Tijolos de pedra rachados
minecraft:stonebrick:3, Tijolos de pedra talhados
minecraft:brown_mushroom_block, Cogumelo
minecraft:red_mushroom_block, Cogumelo
minecraft:iron_bars, Grades de ferro
minecraft:glass_pane, Painel de vidro
minecraft:melon_block, Melancia
minecraft:vine, Trepadeiras
minecraft:fence_gate, Portão de carvalho
minecraft:brick_stairs, Escadas de tijolos
minecraft:stone_brick_stairs, Escadas de tijolos de pedra
minecraft:mycelium, Micélio
minecraft:waterlily, Vitória-régia
minecraft:nether_brick, Tijolos do Nether
minecraft:nether_brick_fence, Cerca de tijolos do Nether
minecraft:nether_brick_stairs, Escadas de tijolos do Nether
minecraft:enchanting_table, Mesa de encantamentos
minecraft:end_portal_frame, Portal do End
minecraft:end_stone, Pedra do End
minecraft:dragon_egg, Ovo de dragão
minecraft:redstone_lamp, Lâmpada de redstone
minecraft:wooden_slab:0, Laje de carvalho
minecraft:wooden_slab:1, Laje de pinheiro
minecraft:wooden_slab:2, Laje de eucalipto
minecraft:wooden_slab:3, Laje de madeira da selva
minecraft:wooden_slab:4, Laje de acácia
minecraft:wooden_slab:5, Laje de carvalho escuro
minecraft:sandstone_stairs, Escadas de arenito
minecraft:emerald_ore, Minério de esmeralda
minecraft:ender_chest, Baú de ender
minecraft:tripwire_hook, Gancho de armadilha
minecraft:emerald_block, Bloco de esmeralda
minecraft:spruce_stairs, Escadas de pinheiro
minecraft:birch_stairs, Escadas de eucalipto
minecraft:jungle_stairs, Escadas de madeira da selva
minecraft:command_block, Bloco de comando
minecraft:beacon, Sinalizador
minecraft:cobblestone_wall:0, Muro de pedregulho
minecraft:cobblestone_wall:1, Muro de pedregulho musgoso
minecraft:wooden_button, Botão
minecraft:anvil:0, Bigorna
minecraft:anvil:1, Bigorna ligeiramente danificada
minecraft:anvil:2, Bigorna muito danificada
minecraft:trapped_chest, Baú com armadilha
minecraft:light_weighted_pressure_plate, Placa de pressão de pesagem (leve)
minecraft:heavy_weighted_pressure_plate, Placa de pressão de pesagem (pesada)
minecraft:daylight_detector, Sensor de luz solar
minecraft:redstone_block, Bloco de redstone
minecraft:quartz_ore, Minério de quartzo do Nether
minecraft:hopper, Funil
minecraft:quartz_block:0, Bloco de quartzo
minecraft:quartz_block:1, Bloco de quartzo talhado
minecraft:quartz_block:2, Pilar de quartzo
minecraft:quartz_stairs, Escadas de quartzo
minecraft:activator_rail, Trilho ativador
minecraft:dropper, Liberador
minecraft:stained_hardened_clay:0, Terracota branca
minecraft:stained_hardened_clay:1, Terracota laranja
minecraft:stained_hardened_clay:2, Terracota magenta
minecraft:stained_hardened_clay:3, Terracota azul-clara
minecraft:stained_hardened_clay:4, Terracota amarela
minecraft:stained_hardened_clay:5, Terracota verde-limão
minecraft:stained_hardened_clay:6, Terracota rosa
minecraft:stained_hardened_clay:7, Terracota cinza
minecraft:stained_hardened_clay:8, Terracota cinza-clara
minecraft:stained_hardened_clay:9, Terracota ciano
minecraft:stained_hardened_clay:10, Terracota roxa
minecraft:stained_hardened_clay:11, Terracota azul
minecraft:stained_hardened_clay:12, Terracota marrom
minecraft:stained_hardened_clay:13, Terracota verde
minecraft:stained_hardened_clay:14, Terracota vermelha
minecraft:stained_hardened_clay:15, Terracota preta
minecraft:stained_glass_pane:0, Painel de vidro branco
minecraft:stained_glass_pane:1, Painel de vidro laranja
minecraft:stained_glass_pane:2, Painel de vidro magenta
minecraft:stained_glass_pane:3, Painel de vidro azul-claro
minecraft:stained_glass_pane:4, Painel de vidro amarelo
minecraft:stained_glass_pane:5, Painel de vidro verde-limão
minecraft:stained_glass_pane:6, Painel de vidro rosa
minecraft:stained_glass_pane:7, Painel de vidro cinza
minecraft:stained_glass_pane:8, Painel de vidro cinza-claro
minecraft:stained_glass_pane:9, Painel de vidro ciano
minecraft:stained_glass_pane:10, Painel de vidro roxo
minecraft:stained_glass_pane:11, Painel de vidro azul
minecraft:stained_glass_pane:12, Painel de vidro marrom
minecraft:stained_glass_pane:13, Painel de vidro verde
minecraft:stained_glass_pane:14, Painel de vidro vermelho
minecraft:stained_glass_pane:15, Painel de vidro preto
minecraft:leaves2:0, Folhas de acácia
minecraft:leaves2:1, Folhas de carvalho escuro
minecraft:log2:0, Madeira de acácia
minecraft:log2:1, Madeira de carvalho escuro
minecraft:acacia_stairs, Escadas de acácia
minecraft:dark_oak_stairs, Escadas de carvalho escuro
minecraft:slime, Bloco de slime
minecraft:barrier, Barreira
minecraft:iron_trapdoor, Alçapão de ferro
minecraft:prismarine:0, Prismarinho
minecraft:prismarine:1, Tijolos de prismarinho
minecraft:prismarine:2, Prismarinho escuro
minecraft:sea_lantern, Lanterna do mar
minecraft:hay_block, Fardo de feno
minecraft:carpet:0, Carpete branco
minecraft:carpet:1, Carpete laranja
minecraft:carpet:2, Carpete magenta
minecraft:carpet:3, Carpete azul-claro
minecraft:carpet:4, Carpete amarelo
minecraft:carpet:5, Carpete verde-limão
minecraft:carpet:6, Carpete rosa
minecraft:carpet:7, Carpete cinza
minecraft:carpet:8, Carpete cinza-claro
minecraft:carpet:9, Carpete ciano
minecraft:carpet:10, Carpete roxo
minecraft:carpet:11, Carpete azul
minecraft:carpet:12, Carpete marrom
minecraft:carpet:13, Carpete verde
minecraft:carpet:14, Carpete vermelho
minecraft:carpet:15, Carpete preto
minecraft:hardened_clay, Terracota
minecraft:coal_block, Bloco de carvão
minecraft:packed_ice, Gelo compactado
minecraft:double_plant:0, Girassol
minecraft:double_plant:1, Lilás
minecraft:double_plant:2, Grama alta
minecraft:double_plant:3, Samambaia grande
minecraft:double_plant:4, Roseira
minecraft:double_plant:5, Peônia
minecraft:red_sandstone:0, Arenito vermelho
minecraft:red_sandstone:1, Arenito vermelho talhado
minecraft:red_sandstone:2, Arenito vermelho liso
minecraft:red_sandstone_stairs, Escadas de arenito vermelho
minecraft:stone_slab2:0, Laje de arenito vermelho
minecraft:spruce_fence_gate, Portão de pinheiro
minecraft:birch_fence_gate, Portão de eucalipto
minecraft:jungle_fence_gate, Portão de madeira da selva
minecraft:dark_oak_fence_gate, Portão de carvalho escuro
minecraft:acacia_fence_gate, Portão de acácia
minecraft:spruce_fence, Cerca de pinheiro
minecraft:birch_fence, Cerca de eucalipto
minecraft:jungle_fence, Cerca de madeira da selva
minecraft:dark_oak_fence, Cerca de carvalho escuro
minecraft:acacia_fence, Cerca de acácia
minecraft:end_rod, Lâmpada do End
minecraft:chorus_plant, Planta do coro
minecraft:chorus_flower, Flor do coro
minecraft:purpur_block, Bloco de púrpura
minecraft:purpur_pillar, Pilar de púrpura
minecraft:purpur_stairs, Escadas de púrpura
minecraft:purpur_slab:0, Laje de púrpura
minecraft:end_bricks, Tijolos de pedra do End
minecraft:grass_path, Caminho de grama
